event,team_h,team_a,team_h_difficulty,team_a_difficulty,finished
10,6,11,3,3,True
10,6,15,3,3,True
10,8,5,3,3,True
10,8,7,3,3,True
10,10,4,3,3,True
10,10,8,3,3,True
10,10,20,3,3,True
10,12,2,3,3,True
10,12,8,3,3,True
10,13,4,3,3,True
10,13,5,3,3,True
10,13,13,3,3,True
10,16,4,3,3,True
10,16,14,3,3,True
10,17,9,3,3,True
10,18,7,3,3,True
10,18,9,3,3,True
10,18,11,3,3,True
10,19,15,3,3,True
10,19,20,3,3,True
11,2,4,3,3,True
11,2,11,3,3,True
11,2,13,3,3,True
11,3,3,3,3,True
11,5,15,3,3,True
11,6,3,3,3,True
11,7,8,3,3,True
11,7,20,3,3,True
11,8,4,3,3,True
11,8,6,3,3,True
11,8,14,3,3,True
11,9,10,3,3,True
11,9,19,3,3,True
11,9,20,3,3,True
11,10,12,3,3,True
11,11,20,3,3,True
11,13,6,3,3,True
11,13,12,3,3,True
11,16,11,3,3,True
11,16,12,3,3,True
11,17,1,3,3,True
11,18,14,3,3,True
11,19,3,3,3,True
12,1,8,3,3,True
12,1,18,3,3,True
12,3,7,3,3,True
12,3,9,3,3,True
12,3,11,3,3,True
12,4,3,3,3,True
12,4,6,3,3,True
12,4,19,3,3,True
12,6,5,3,3,True
12,8,8,3,3,True
12,10,17,3,3,True
12,11,2,3,3,True
12,11,8,3,3,True
12,12,2,3,3,True
12,12,16,3,3,True
12,13,19,3,3,True
12,14,9,3,3,True
12,15,10,3,3,True
12,15,13,3,3,True
12,15,16,3,3,True
12,19,17,3,3,True
12,20,8,3,3,True
12,20,13,3,3,True
13,2,6,3,3,True
13,2,8,3,3,True
13,2,20,3,3,True
13,3,12,3,3,True
13,5,3,3,3,True
13,6,12,3,3,True
13,7,1,3,3,True
13,8,10,3,3,True
13,8,14,3,3,True
13,8,20,3,3,True
13,9,1,3,3,True
13,9,15,3,3,True
13,10,11,3,3,True
13,11,1,3,3,True
13,13,11,3,3,True
13,13,14,3,3,True
13,16,6,3,3,True
13,16,11,3,3,True
13,17,4,3,3,True
13,17,13,3,3,True
13,18,10,3,3,True
13,18,19,3,3,True
13,19,12,3,3,True
14,1,5,3,3,True
14,3,8,3,3,True
14,3,13,3,3,True
14,4,9,3,3,True
14,6,2,3,3,True
14,6,8,3,3,True
14,8,16,3,3,True
14,10,10,3,3,True
14,10,13,3,3,True
14,10,16,3,3,True
14,11,7,3,3,True
14,11,9,3,3,True
14,11,11,3,3,True
14,12,17,3,3,True
14,13,9,3,3,True
14,14,3,3,3,True
14,14,6,3,3,True
14,14,19,3,3,True
14,15,8,3,3,True
14,15,18,3,3,True
14,19,13,3,3,True
14,20,2,3,3,True
14,20,16,3,3,True
15,2,1,3,3,True
15,4,7,3,3,True
15,4,9,3,3,True
15,4,11,3,3,True
15,6,3,3,3,True
15,6,6,3,3,True
15,6,19,3,3,True
15,8,1,3,3,True
15,8,5,3,3,True
15,8,14,3,3,True
15,9,2,3,3,True
15,9,16,3,3,True
15,10,8,3,3,True
15,10,13,3,3,True
15,10,17,3,3,True
15,11,12,3,3,True
15,13,7,3,3,True
15,13,17,3,3,True
15,15,3,3,3,True
15,16,17,3,3,True
15,18,5,3,3,True
15,19,8,3,3,True
15,20,14,3,3,True
16,1,8,3,3,True
16,1,20,3,3,True
16,2,18,3,3,True
16,3,2,3,3,True
16,3,10,3,3,True
16,3,19,3,3,True
16,5,11,3,3,True
16,6,2,3,3,True
16,7,9,3,3,True
16,8,10,3,3,True
16,8,13,3,3,True
16,8,16,3,3,True
16,9,9,3,3,True
16,11,9,3,3,True
16,12,6,3,3,True
16,13,13,3,3,True
16,14,4,3,3,True
16,14,13,3,3,True
16,16,8,3,3,True
16,16,18,3,3,True
16,17,15,3,3,True
16,19,2,3,3,True
16,19,8,3,3,True
17,2,14,3,3,True
17,4,3,3,3,True
17,6,17,3,3,True
17,8,5,3,3,True
17,8,12,3,3,True
17,8,14,3,3,True
17,9,1,3,3,True
17,10,2,3,3,True
17,10,16,3,3,True
17,10,19,3,3,True
17,11,8,3,3,True
17,11,13,3,3,True
17,13,3,3,3,True
17,13,6,3,3,True
17,13,19,3,3,True
17,15,7,3,3,True
17,15,9,3,3,True
17,15,11,3,3,True
17,16,19,3,3,True
17,18,12,3,3,True
17,19,16,3,3,True
17,20,5,3,3,True
18,1,6,3,3,True
18,2,13,3,3,True
18,3,9,3,3,True
18,3,10,3,3,True
18,5,4,3,3,True
18,5,13,3,3,True
18,6,10,3,3,True
18,7,2,3,3,True
18,7,8,3,3,True
18,8,8,3,3,True
18,8,18,3,3,True
18,9,2,3,3,True
18,11,2,3,3,True
18,12,8,3,3,True
18,12,20,3,3,True
18,13,18,3,3,True
18,14,15,3,3,True
18,16,10,3,3,True
18,16,13,3,3,True
18,16,16,3,3,True
18,17,11,3,3,True
18,19,10,3,3,True
18,19,19,3,3,True
19,1,2,3,3,True
19,1,8,3,3,True
19,2,9,3,3,True
19,3,6,3,3,True
19,3,15,3,3,True
19,5,8,3,3,True
19,5,18,3,3,True
19,6,6,3,3,True
19,7,4,3,3,True
19,7,13,3,3,True
19,8,10,3,3,True
19,8,19,3,3,True
19,9,4,3,3,True
19,11,4,3,3,True
19,12,11,3,3,True
19,13,10,3,3,True
19,14,8,3,3,True
19,14,20,3,3,True
19,16,9,3,3,True
19,17,10,3,3,True
19,17,13,3,3,True
19,17,16,3,3,True
19,19,6,3,3,True
20,2,2,3,3,True
20,2,16,3,3,True
20,4,1,3,3,True
20,6,3,3,3,True
20,8,16,3,3,True
20,8,19,3,3,True
20,9,5,3,3,True
20,10,7,3,3,True
20,10,12,3,3,True
20,11,14,3,3,True
20,13,1,3,3,True
20,13,7,3,3,True
20,13,9,3,3,True
20,13,11,3,3,True
20,15,8,3,3,True
20,15,13,3,3,True
20,16,7,3,3,True
20,18,17,3,3,True
20,19,12,3,3,True
20,20,3,3,3,True
20,20,6,3,3,True
20,20,19,3,3,True
21,1,12,3,3,True
21,3,14,3,3,True
21,3,16,3,3,True
21,4,18,3,3,True
21,5,17,3,3,True
21,6,16,3,3,True
21,8,2,3,3,True
21,8,8,3,3,True
21,9,8,3,3,True
21,9,20,3,3,True
21,10,6,3,3,True
21,10,7,3,3,True
21,10,9,3,3,True
21,10,11,3,3,True
21,13,2,3,3,True
21,13,6,3,3,True
21,13,18,3,3,True
21,15,11,3,3,True
